species,nt,ntp1,oviposition_days,chaff_presence,temp,rh,exp_name,output_eggs
A,5,98,7.08333,0,31,70,castaneum_chaos,NA
A,66,239,7.08333,0,31,70,castaneum_chaos,NA
A,44,282,7.08333,0,31,70,castaneum_chaos,NA
A,34,306,7.08333,0,31,70,castaneum_chaos,NA
A,60,273,7.08333,0,31,70,castaneum_chaos,NA
A,56,270,7.08333,0,31,70,castaneum_chaos,NA
A,56,282,7.08333,0,31,70,castaneum_chaos,NA
A,84,272,7.08333,0,31,70,castaneum_chaos,NA
A,40,192,7.08333,0,31,70,castaneum_chaos,NA
A,5,161,7.08333,0,31,70,castaneum_chaos,NA
A,82,47,7.08333,1,31,70,castaneum_chaos,NA
A,13,268,7.08333,0,31,70,castaneum_chaos,NA
A,19,312,7.08333,0,31,70,castaneum_chaos,NA
A,7,177,7.08333,0,31,70,castaneum_chaos,NA
A,84,281,7.08333,0,31,70,castaneum_chaos,NA
A,84,301,7.08333,0,31,70,castaneum_chaos,NA
A,44,329,7.08333,0,31,70,castaneum_chaos,NA
A,15,309,7.08333,0,31,70,castaneum_chaos,NA
A,19,297,7.08333,0,31,70,castaneum_chaos,NA
A,38,350,7.08333,0,31,70,castaneum_chaos,NA
A,74,293,7.08333,0,31,70,castaneum_chaos,NA
A,11,311,7.08333,0,31,70,castaneum_chaos,NA
A,12,218,7.08333,0,31,70,castaneum_chaos,NA
A,52,326,7.08333,0,31,70,castaneum_chaos,NA
A,80,240,7.08333,0,31,70,castaneum_chaos,NA
A,4,95,7.08333,0,31,70,castaneum_chaos,NA
A,64,261,7.08333,0,31,70,castaneum_chaos,NA
A,42,304,7.08333,0,31,70,castaneum_chaos,NA
A,76,322,7.08333,0,31,70,castaneum_chaos,NA
A,9,168,7.08333,0,31,70,castaneum_chaos,NA
A,70,168,7.08333,1,31,70,castaneum_chaos,NA
A,13,305,7.08333,0,31,70,castaneum_chaos,NA
A,24,331,7.08333,0,31,70,castaneum_chaos,NA
A,24,344,7.08333,0,31,70,castaneum_chaos,NA
A,22,320,7.08333,0,31,70,castaneum_chaos,NA
A,64,325,7.08333,0,31,70,castaneum_chaos,NA
A,34,276,7.08333,0,31,70,castaneum_chaos,NA
A,54,50,7.08333,1,31,70,castaneum_chaos,NA
A,80,331,7.08333,0,31,70,castaneum_chaos,NA
A,36,317,7.08333,0,31,70,castaneum_chaos,NA
A,60,328,7.08333,0,31,70,castaneum_chaos,NA
A,48,298,7.08333,0,31,70,castaneum_chaos,NA
A,78,318,7.08333,0,31,70,castaneum_chaos,NA
A,50,306,7.08333,0,31,70,castaneum_chaos,NA
A,60,268,7.08333,0,31,70,castaneum_chaos,NA
A,34,348,7.08333,0,31,70,castaneum_chaos,NA
A,30,351,7.08333,0,31,70,castaneum_chaos,NA
A,46,302,7.08333,0,31,70,castaneum_chaos,NA
A,9,214,7.08333,0,31,70,castaneum_chaos,NA
A,10,226,7.08333,0,31,70,castaneum_chaos,NA
